UC_Schritt;Schritt_Text;RA_Klasse;RA_Typ;Stereotype;Beschreibung;Control_Flow_Source;Control_Flow_Type;Control_Flow_Rule;Data_Flow_Entity;Data_Flow_Type;Data_Flow_Description
;- Coffee beans are available in the system;CoffeeBeans;Entity;<<entity>>;Precondition entity: coffee_beans;;;;;;
;- Coffee beans are available in the system;CoffeeBeansSupplyBoundary;Boundary;<<boundary>>;Boundary for CoffeeBeans supply monitoring and alerts;;;;;;
;- Coffee beans are available in the system;Coffee;Entity;<<entity>>;Precondition entity: coffee;;;;;;
;- Coffee beans are available in the system;CoffeeSupplyBoundary;Boundary;<<boundary>>;Boundary for Coffee supply monitoring and alerts;;;;;;
;- Water is available in the system;Water;Entity;<<entity>>;Precondition entity: water;;;;;;
;- Water is available in the system;WaterSupplyBoundary;Boundary;<<boundary>>;Boundary for Water supply monitoring and alerts;;;;;;
;- Milk is available in the system;Milk;Entity;<<entity>>;Precondition entity: milk;;;;;;
;- Milk is available in the system;MilkSupplyBoundary;Boundary;<<boundary>>;Boundary for Milk supply monitoring and alerts;;;;;;
;- Sugar is available in the system;Sugar;Entity;<<entity>>;Precondition entity: sugar;;;;;;
;- Sugar is available in the system;SugarSupplyBoundary;Boundary;<<boundary>>;Boundary for Sugar supply monitoring and alerts;;;;;;
;Actors: User;User;Actor;<<actor>>;System actor: User;;;;;;
B1;B1 (trigger) System clock reaches the user defined time of 7:00h (Radio clock);TimingBoundary;Boundary;<<boundary>>;Boundary for time-based system scheduling and triggers;User;signal;Actor-Boundary interaction;;;
P1_START;Parallel flow distribution for B2a;P1_START;ControlFlowNode;<<distribution>>;Distribution node for parallel steps B2a;;;;;;
B2a;B2a The system activates the water heater;WaterLiquidManager;Controller;<<controller>>;Manages water (liquid state): heat in B2a | Implicit: OverheatProtection[high], WaterQualityProtection[medium];P2_START;parallel;Rule 3: parallel -> parallel (same step number);;;
B2a;B2a The system activates the water heater;WaterLiquidManager;Controller;<<controller>>;Manages water (liquid state): heat in B2a | Implicit: OverheatProtection[high], WaterQualityProtection[medium];P2_START;parallel;Rule 3: parallel -> parallel (same step number);;;
B2b;B2b The system prepares filter;FilterManager;Controller;<<controller>>;Manages filter: prepare in B2b;P2_START;parallel;Rule 3: parallel -> parallel (same step number);;;
B2b;B2b The system prepares filter;FilterManager;Controller;<<controller>>;Manages filter: prepare in B2b;P2_START;parallel;Rule 3: parallel -> parallel (same step number);;;
B2b;B2b The system prepares filter;FilterManager;Controller;<<controller>>;Manages filter: prepare in B2b;;;;FilterDepot;use;FilterManager uses FilterDepot as input
B2b;B2b The system prepares filter;FilterManager;Controller;<<controller>>;Manages filter: prepare in B2b;;;;Filter;provide;FilterManager produces Filter as result
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeSolidManager;Controller;<<controller>>;Manages coffee (solid state): grind in B2c | Implicit: FreshnessProtection[low];P2_START;parallel;Rule 3: parallel -> parallel (same step number);;;
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeSolidManager;Controller;<<controller>>;Manages coffee (solid state): grind in B2c | Implicit: FreshnessProtection[low];P2_START;parallel;Rule 3: parallel -> parallel (same step number);;;
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeSolidManager;Controller;<<controller>>;Manages coffee (solid state): grind in B2c | Implicit: FreshnessProtection[low];;;;CoffeeBeans;use;CoffeeSolidManager uses CoffeeBeans as input
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeSolidManager;Controller;<<controller>>;Manages coffee (solid state): grind in B2c | Implicit: FreshnessProtection[low];;;;GroundCoffee;provide;CoffeeSolidManager produces GroundCoffee as result
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeSolidManager;Controller;<<controller>>;Manages coffee (solid state): grind in B2c | Implicit: FreshnessProtection[low];;;;UserDefinedAmountOfCoffee;use;CoffeeSolidManager uses UserDefinedAmountOfCoffee as input
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeBeans;Entity;<<entity>>;Domain entity: coffeebeans;;;;;;
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;GroundCoffee;Entity;<<entity>>;Domain entity: groundcoffee;;;;;;
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;UserDefinedAmountOfCoffee;Entity;<<entity>>;Domain entity: userdefinedamountofcoffee;;;;;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;CupManager;Controller;<<controller>>;Manages cup: store in B2d;P2_START;parallel;Rule 4: parallel -> parallel (different step number);;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;CupManager;Controller;<<controller>>;Manages cup: store in B2d;P2_START;parallel;Rule 4: parallel -> parallel (different step number);;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;CupManager;Controller;<<controller>>;Manages cup: store in B2d;;;;StorageContainer;use;CupManager uses StorageContainer as input
